,serialno,puma,totalnumber,youthtype,age,sex,educationattainment,race,race2
0,2013000056099,11613,16.0,Not Opportunity Youth,22-24,Male,HS Diploma or GED,White,White
1,2013000057563,11611,20.0,Opportunity Youth,19-21,Male,HS Diploma or GED,White,White
2,2013000058010,11614,45.0,Opportunity Youth,16-18,Female,No Diploma,American Indian\Alaska Native,Other Races
3,2013000059060,11610,19.0,Opportunity Youth,22-24,Male,HS Diploma or GED,White,White
4,2013000065045,11611,27.0,Not Opportunity Youth,22-24,Female,"Some College, No Degree",Black of African American alone,Black of African American
5,2013000067168,11615,22.0,Opportunity Youth,22-24,Female,"Some College, No Degree",White,White
6,2013000068930,11612,13.0,Working without Diploma,16-18,Male,No Diploma,White,White
7,2013000069409,11614,10.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",White,White
8,2013000069409,11614,9.0,Not Opportunity Youth,16-18,Male,HS Diploma or GED,White,White
9,2013000070516,11612,20.0,Opportunity Youth,19-21,Female,HS Diploma or GED,White,White
10,2013000072428,11615,13.0,Not Opportunity Youth,16-18,Male,No Diploma,White,White
11,2013000075342,11611,34.0,Working without Diploma,22-24,Female,No Diploma,Black of African American alone,Black of African American
12,2013000088597,11610,21.0,Not Opportunity Youth,16-18,Male,No Diploma,Asian along,Other Races
13,2013000088914,11612,36.0,Not Opportunity Youth,16-18,Female,No Diploma,Hispanic,Hispanic
14,2013000100470,11613,13.0,Not Opportunity Youth,19-21,Female,HS Diploma or GED,Hispanic,Hispanic
15,2013000100470,11613,16.0,Opportunity Youth,16-18,Female,No Diploma,Hispanic,Hispanic
16,2013000102767,11615,17.0,Not Opportunity Youth,22-24,Male,Degree (Associate or Higher),White,White
17,2013000103566,11611,20.0,Not Opportunity Youth,16-18,Female,No Diploma,White,White
18,2013000105303,11615,17.0,Not Opportunity Youth,22-24,Male,Degree (Associate or Higher),White,White
19,2013000106284,11614,4.0,Opportunity Youth,22-24,Female,"Some College, No Degree",Hispanic,Hispanic
20,2013000106963,11612,43.0,Not Opportunity Youth,19-21,Female,No Diploma,Black of African American alone,Black of African American
21,2013000106963,11612,24.0,Not Opportunity Youth,16-18,Female,No Diploma,Black of African American alone,Black of African American
22,2013000111689,11610,40.0,Opportunity Youth,19-21,Male,HS Diploma or GED,Black of African American alone,Black of African American
23,2013000115983,11614,4.0,Not Opportunity Youth,16-18,Female,No Diploma,Hispanic,Hispanic
24,2013000115983,11614,7.0,Working without Diploma,22-24,Male,No Diploma,Hispanic,Hispanic
25,2013000118713,11613,25.0,Opportunity Youth,22-24,Female,No Diploma,White,White
26,2013000121584,11611,19.0,Opportunity Youth,16-18,Male,No Diploma,White,White
27,2013000121584,11611,18.0,Not Opportunity Youth,16-18,Male,No Diploma,White,White
28,2013000125319,11615,17.0,Not Opportunity Youth,19-21,Female,"Some College, No Degree",White,White
29,2013000127828,11611,18.0,Not Opportunity Youth,22-24,Male,HS Diploma or GED,Asian along,Other Races
30,2013000127828,11611,18.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",Asian along,Other Races
31,2013000127977,11612,117.0,Not Opportunity Youth,16-18,Male,HS Diploma or GED,Hispanic,Hispanic
32,2013000128172,11612,118.0,Opportunity Youth,22-24,Female,"Some College, No Degree",Hispanic,Hispanic
33,2013000133070,11613,43.0,Working without Diploma,16-18,Female,No Diploma,Two or More Races,Other Races
34,2013000134646,11610,18.0,Not Opportunity Youth,22-24,Male,Degree (Associate or Higher),White,White
35,2013000135615,11615,20.0,Not Opportunity Youth,22-24,Female,Degree (Associate or Higher),White,White
36,2013000140494,11611,30.0,Not Opportunity Youth,22-24,Female,HS Diploma or GED,Hispanic,Hispanic
37,2013000140494,11611,31.0,Not Opportunity Youth,19-21,Male,HS Diploma or GED,Hispanic,Hispanic
38,2013000140494,11611,22.0,Not Opportunity Youth,16-18,Male,No Diploma,Two or More Races,Other Races
39,2013000142112,11614,7.0,Not Opportunity Youth,19-21,Male,HS Diploma or GED,Hispanic,Hispanic
40,2013000142231,11611,28.0,Not Opportunity Youth,22-24,Male,HS Diploma or GED,Black of African American alone,Black of African American
41,2013000142231,11611,26.0,Not Opportunity Youth,19-21,Female,"Some College, No Degree",Black of African American alone,Black of African American
42,2013000142655,11615,17.0,Not Opportunity Youth,16-18,Male,No Diploma,White,White
43,2013000144843,11614,19.0,Not Opportunity Youth,22-24,Female,Degree (Associate or Higher),Hispanic,Hispanic
44,2013000149467,11612,33.0,Not Opportunity Youth,16-18,Female,No Diploma,Asian along,Other Races
45,2013000149515,11610,15.0,Not Opportunity Youth,22-24,Female,Degree (Associate or Higher),White,White
46,2013000149515,11610,13.0,Not Opportunity Youth,16-18,Male,HS Diploma or GED,White,White
47,2013000149563,11614,33.0,Not Opportunity Youth,22-24,Female,"Some College, No Degree",White,White
48,2013000151433,11610,16.0,Not Opportunity Youth,16-18,Male,No Diploma,White,White
49,2013000155051,11614,2.0,Opportunity Youth,19-21,Female,No Diploma,American Indian\Alaska Native,Other Races
50,2013000155051,11614,2.0,Not Opportunity Youth,16-18,Male,No Diploma,American Indian\Alaska Native,Other Races
51,2013000159960,11613,40.0,Not Opportunity Youth,22-24,Female,"Some College, No Degree",White,White
52,2013000160429,11614,13.0,Not Opportunity Youth,16-18,Male,"Some College, No Degree",Asian along,Other Races
53,2013000162392,11615,23.0,Not Opportunity Youth,16-18,Female,No Diploma,Two or More Races,Other Races
54,2013000163056,11613,14.0,Working without Diploma,16-18,Female,No Diploma,White,White
55,2013000166236,11611,10.0,Working without Diploma,19-21,Female,No Diploma,White,White
56,2013000166503,11610,41.0,Opportunity Youth,19-21,Female,No Diploma,White,White
57,2013000170171,11611,14.0,Not Opportunity Youth,22-24,Male,HS Diploma or GED,White,White
58,2013000171161,11610,14.0,Not Opportunity Youth,16-18,Female,No Diploma,White,White
59,2013000171847,11614,30.0,Not Opportunity Youth,22-24,Female,HS Diploma or GED,Hispanic,Hispanic
60,2013000176491,11613,13.0,Not Opportunity Youth,22-24,Male,Degree (Associate or Higher),Two or More Races,Other Races
61,2013000178297,11613,27.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",Asian along,Other Races
62,2013000179295,11612,74.0,Not Opportunity Youth,16-18,Male,No Diploma,Hispanic,Hispanic
63,2013000179407,11615,8.0,Opportunity Youth,22-24,Male,HS Diploma or GED,White,White
64,2013000192357,11613,47.0,Working without Diploma,22-24,Female,No Diploma,Native Hawaiian or Other Pacific Islander alone,Other Races
65,2013000193556,11611,23.0,Not Opportunity Youth,16-18,Male,No Diploma,Two or More Races,Other Races
66,2013000198469,11611,16.0,Not Opportunity Youth,22-24,Female,"Some College, No Degree",Asian along,Other Races
67,2013000198469,11611,15.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",Asian along,Other Races
68,2013000203925,11615,17.0,Opportunity Youth,19-21,Male,HS Diploma or GED,White,White
69,2013000204235,11613,23.0,Not Opportunity Youth,19-21,Female,HS Diploma or GED,White,White
70,2013000204235,11613,17.0,Opportunity Youth,16-18,Male,No Diploma,White,White
71,2013000205662,11614,35.0,Not Opportunity Youth,16-18,Female,HS Diploma or GED,White,White
72,2013000208643,11615,18.0,Not Opportunity Youth,19-21,Female,HS Diploma or GED,White,White
73,2013000208643,11615,17.0,Not Opportunity Youth,16-18,Male,HS Diploma or GED,White,White
74,2013000215337,11613,17.0,Opportunity Youth,19-21,Female,"Some College, No Degree",White,White
75,2013000215337,11613,16.0,Not Opportunity Youth,16-18,Male,"Some College, No Degree",White,White
76,2013000218538,11614,18.0,Not Opportunity Youth,19-21,Female,HS Diploma or GED,Asian along,Other Races
77,2013000220663,11615,14.0,Opportunity Youth,22-24,Male,Degree (Associate or Higher),Asian along,Other Races
78,2013000227410,11612,21.0,Working without Diploma,16-18,Male,No Diploma,White,White
79,2013000218893,11612,20.0,Not Opportunity Youth,19-21,Female,HS Diploma or GED,White,White
80,2013000218893,11612,17.0,Not Opportunity Youth,19-21,Male,HS Diploma or GED,Two or More Races,Other Races
81,2013000224258,11612,23.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",Black of African American alone,Black of African American
82,2013000227410,11612,22.0,Working without Diploma,16-18,Male,No Diploma,White,White
83,2013000230254,11614,31.0,Not Opportunity Youth,22-24,Female,Degree (Associate or Higher),White,White
84,2013000231676,11611,2.0,Not Opportunity Youth,22-24,Female,"Some College, No Degree",American Indian\Alaska Native,Other Races
85,2013000234060,11613,17.0,Not Opportunity Youth,22-24,Male,"Some College, No Degree",White,White
86,2013000236807,11613,38.0,Not Opportunity Youth,22-24,Female,HS Diploma or GED,Black of African American alone,Black of African American
87,2013000242451,11611,52.0,Opportunity Youth,22-24,Male,Degree (Associate or Higher),White,White
88,2013000248990,11613,28.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",White,White
89,2013000248990,11613,25.0,Not Opportunity Youth,19-21,Male,"Some College, No Degree",White,White
90,2013000251477,11613,13.0,Not Opportunity Youth,22-24,Female,"Some College, No Degree",White,White
91,2013000260015,11613,20.0,Not Opportunity Youth,19-21,Female,Degree (Associate or Higher),Some other Race alone,Other Races
92,2013000251477,11613,14.0,Opportunity Youth,22-24,Male,No Diploma,White,White
93,2013000256101,11615,17.0,Working without Diploma,16-18,Female,No Diploma,White,White
94,2013000265208,11615,23.0,Not Opportunity Youth,22-24,Male,Degree (Associate or Higher),White,White
95,2013000268038,11615,27.0,Not Opportunity Youth,19-21,Male,HS Diploma or GED,White,White
96,2013000268038,11615,28.0,Not Opportunity Youth,16-18,Female,"Some College, No Degree",White,White
97,2013000268038,11615,29.0,Not Opportunity Youth,16-18,Female,HS Diploma or GED,White,White
98,2013000268038,11615,27.0,Not Opportunity Youth,16-18,Male,No Diploma,White,White
99,2013000268539,11614,34.0,Not Opportunity Youth,19-21,Male,Degree (Associate or Higher),White,White
100,2013000275538,11611,10.0,Not Opportunity Youth,22-24,Male,"Some College, No Degree",Hispanic,Hispanic
